,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.740073304825901,0.730462918389442,0.7136294027565084,0.6614620298083748,0.6865561694290976,0.5227145260796411,0.4660600011421055
std,1.1214946133455537e-16,0.0,0.0,0.0,0.0,0.0,1.1214946133455537e-16
min,0.7400733048259011,0.730462918389442,0.7136294027565084,0.6614620298083748,0.6865561694290976,0.5227145260796411,0.4660600011421056
25%,0.7400733048259011,0.730462918389442,0.7136294027565084,0.6614620298083748,0.6865561694290976,0.5227145260796411,0.4660600011421056
50%,0.7400733048259011,0.730462918389442,0.7136294027565084,0.6614620298083748,0.6865561694290976,0.5227145260796411,0.4660600011421056
75%,0.7400733048259011,0.730462918389442,0.7136294027565084,0.6614620298083748,0.6865561694290976,0.5227145260796411,0.4660600011421056
max,0.7400733048259011,0.730462918389442,0.7136294027565084,0.6614620298083748,0.6865561694290976,0.5227145260796411,0.4660600011421056
