,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.8555392156862744,0.7311090146750523,0.8728292446716232,0.9537735849056603,0.9114398880532808,0.837368572555792,0.5399442659925526
std,0.01181596891322702,0.02198534569110266,0.010042976205471036,0.011527967134192576,0.007218338524671744,0.012177276124268513,0.04102098946433845
min,0.8308823529411765,0.6764150943396227,0.8487394957983193,0.9213836477987422,0.8960244648318043,0.8116343490304709,0.44236560844666495
25%,0.8480392156862745,0.7172693920335429,0.8665246212121211,0.9473270440251572,0.9061315572644878,0.828373456176061,0.5183539515666201
50%,0.8553921568627451,0.7299266247379456,0.8719093406593407,0.9528301886792453,0.9116565472174822,0.8376552309479139,0.539471113217688
75%,0.8645833333333334,0.7432389937106918,0.8774053724053724,0.9622641509433962,0.9166350531107739,0.8460999784529196,0.5694658704429116
max,0.8823529411764706,0.7852201257861635,0.9003021148036254,0.9748427672955975,0.9270516717325228,0.8640226628895185,0.6344412685745153
