,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.7269761759315821,0.7247021122352096,0.6739464165296147,0.7083747338537972,0.690688393639579,0.5275533124206896,0.4471017693746906
std,0.005006547431503505,0.005177469106379079,0.006256179638527054,0.010095466114907687,0.006146502220132372,0.0071855227417919115,0.010207691304183997
min,0.7162492364080635,0.7136293494330777,0.6619906479625919,0.6848828956706884,0.6782126775199168,0.5131027253668763,0.42510424819783066
25%,0.7233506414172266,0.7211192125687603,0.6705168337229535,0.7006742370475514,0.6869829091076607,0.5232094453785526,0.43925159898913807
50%,0.727550397067807,0.7249488637769071,0.6736309014671049,0.7079488999290277,0.6902287920700784,0.5269842478508344,0.44806231823604814
75%,0.7293830177153329,0.7274253316005685,0.6770909307618783,0.71611071682044,0.6946603984518497,0.5321683320444462,0.45215675591915594
max,0.7437385461209529,0.7420095251323835,0.6917900403768507,0.730305180979418,0.7101899827288429,0.550615961435458,0.4813535818599561
