,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.911764705882353,0.8238993710691824,0.9122807017543859,0.9811320754716981,0.9454545454545454,0.8965517241379308,0.7294405365303909
std,1.1214946133455537e-16,0.0,0.0,0.0,0.0,2.2429892266911074e-16,0.0
min,0.9117647058823529,0.8238993710691824,0.9122807017543859,0.9811320754716981,0.9454545454545454,0.896551724137931,0.7294405365303909
25%,0.9117647058823529,0.8238993710691824,0.9122807017543859,0.9811320754716981,0.9454545454545454,0.896551724137931,0.7294405365303909
50%,0.9117647058823529,0.8238993710691824,0.9122807017543859,0.9811320754716981,0.9454545454545454,0.896551724137931,0.7294405365303909
75%,0.9117647058823529,0.8238993710691824,0.9122807017543859,0.9811320754716981,0.9454545454545454,0.896551724137931,0.7294405365303909
max,0.9117647058823529,0.8238993710691824,0.9122807017543859,0.9811320754716981,0.9454545454545454,0.896551724137931,0.7294405365303909
