,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.8063725490196079,0.569077568134172,0.8040712468193385,0.9937106918238995,0.8888888888888888,0.7999999999999998,0.3044107222783121
std,0.0,0.0,1.1214946133455537e-16,1.1214946133455537e-16,0.0,2.2429892266911074e-16,5.607473066727768e-17
min,0.8063725490196079,0.569077568134172,0.8040712468193384,0.9937106918238994,0.8888888888888888,0.8,0.30441072227831206
25%,0.8063725490196079,0.569077568134172,0.8040712468193384,0.9937106918238994,0.8888888888888888,0.8,0.30441072227831206
50%,0.8063725490196079,0.569077568134172,0.8040712468193384,0.9937106918238994,0.8888888888888888,0.8,0.30441072227831206
75%,0.8063725490196079,0.569077568134172,0.8040712468193384,0.9937106918238994,0.8888888888888888,0.8,0.30441072227831206
max,0.8063725490196079,0.569077568134172,0.8040712468193384,0.9937106918238994,0.8888888888888888,0.8,0.30441072227831206
