,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.7199999999999999,0.716678459119497,0.7328096593484535,0.6495833333333333,0.687094044339685,0.5245426274678283,0.43961435584722786
std,0.028557265229099144,0.029099240795877477,0.03809142595716257,0.05721738553629456,0.037170322686612974,0.04343342214437409,0.05820536406444137
min,0.6567656765676567,0.6542845911949686,0.6492537313432836,0.5347222222222222,0.6177606177606177,0.44692737430167595,0.310267728713031
25%,0.7062706270627063,0.7012906184486374,0.7103864734299518,0.6059027777777778,0.662278337352816,0.49508030216466703,0.41090581096194906
50%,0.7178217821782178,0.7147536687631029,0.7258410880458125,0.6388888888888888,0.6833038608900678,0.5189548483612132,0.43407327391146233
75%,0.7326732673267327,0.7299855870020966,0.751453488372093,0.6961805555555556,0.708173076923077,0.5481950844854071,0.4645426023088595
max,0.7887788778877888,0.7849842767295598,0.8454545454545455,0.7847222222222222,0.7681660899653979,0.6235955056179775,0.5788863983410263
