,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.8547854785478549,0.8541011530398324,0.8521126760563379,0.8402777777777779,0.8461538461538464,0.7333333333333333,0.7087287239920731
std,1.1214946133455537e-16,1.1214946133455537e-16,1.1214946133455537e-16,1.1214946133455537e-16,1.1214946133455537e-16,0.0,0.0
min,0.8547854785478548,0.8541011530398323,0.852112676056338,0.8402777777777778,0.8461538461538463,0.7333333333333333,0.7087287239920731
25%,0.8547854785478548,0.8541011530398323,0.852112676056338,0.8402777777777778,0.8461538461538463,0.7333333333333333,0.7087287239920731
50%,0.8547854785478548,0.8541011530398323,0.852112676056338,0.8402777777777778,0.8461538461538463,0.7333333333333333,0.7087287239920731
75%,0.8547854785478548,0.8541011530398323,0.852112676056338,0.8402777777777778,0.8461538461538463,0.7333333333333333,0.7087287239920731
max,0.8547854785478548,0.8541011530398323,0.852112676056338,0.8402777777777778,0.8461538461538463,0.7333333333333333,0.7087287239920731
