,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.7135806041335454,0.788335016591455,0.6666336750438129,0.6695836400449141,0.6665545104008882,0.5016163336159394,0.41628959180633784
std,0.007217322231174311,0.006556379236919164,0.010764762059509056,0.023156427363497087,0.011408003164455779,0.01277451411873491,0.015022746720359323
min,0.695039745627981,0.7743693140667904,0.6368617972356967,0.5991501917331353,0.628521274399733,0.46012912746889006,0.37592693096933316
25%,0.7097058823529412,0.7841331872541665,0.6586104490308423,0.6558573643848025,0.6608115105421337,0.49592409029660356,0.4104229888677876
50%,0.7136923688394277,0.7884165293725727,0.6686317343644765,0.6747183562676394,0.6667611447411359,0.501802865618628,0.4157566817226004
75%,0.7180385532591415,0.7925211976474007,0.6723264392466922,0.683079066611737,0.6734100366895847,0.5090055011538217,0.42521085918876106
max,0.7309300476947534,0.8014550237019681,0.6857341313463996,0.7158217220379137,0.6956951517011839,0.5350908174138729,0.4557329133301215
