,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.6934446601941747,0.7601277626004271,0.6805547707248095,0.6679661677620885,0.6710468175057173,0.5072660705626133,0.3856983446070078
std,0.011563660270265154,0.008441211854116743,0.02540579635823301,0.05942131883644945,0.02478432623001071,0.028470833217208894,0.024167328136433457
min,0.6700970873786408,0.7432423789187806,0.6195469013293391,0.5240909090909092,0.61003861003861,0.44,0.33671058671478227
25%,0.6844417475728155,0.7538052444874827,0.6614448051948052,0.6351540616246498,0.6587402829250655,0.4939800149113719,0.3674311103466025
50%,0.6937864077669903,0.7600160215115572,0.6819654929717085,0.6792343703962374,0.6770819731899556,0.5119765499350255,0.38814610532812144
75%,0.7014684466019417,0.7679537502858436,0.6972313915836184,0.7096180611102224,0.6893398638478301,0.5282936745526899,0.40405772813730645
max,0.7182038834951456,0.774593825661636,0.7435661764705883,0.7710309930423782,0.7060148383677796,0.549989420228523,0.43823035102635055
