,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.5826333333333333,0.544641614758697,0.5842660637394281,0.7117694263550614,0.6408875002722165,0.5785929440940343,0.2098221524195939
std,0.1234845047060332,0.12283384708065957,0.12579714674434367,0.12026017449219589,0.12312495170840985,0.122746355822106,0.1439337334821738
min,0.5166666666666667,0.4881401810749637,0.5166666666666667,0.6451022022397069,0.5818674456510234,0.5166666666666667,0.0
25%,0.5233333333333333,0.4905375146555423,0.5238095238095238,0.6565778369975571,0.5847010173396388,0.5211840119835044,0.12175764987571741
50%,0.5333333333333333,0.49201663456121236,0.5336684354452625,0.6623633523291894,0.5892993188402604,0.5281420912492804,0.19303740978734496
75%,0.535,0.4938286757977447,0.537217837844057,0.6666666666666666,0.5901263011821289,0.5295410788303175,0.20089227355064943
max,0.8733333333333334,0.8268549194546128,0.88008673439078,0.9958847736625515,0.9252367898118736,0.8655690027207056,0.5610400709316886
