,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.7242953895071541,0.7970778433863103,0.6828797214241841,0.6700301131939722,0.6747834790717051,0.5108151827149354,0.43628898771428637
std,0.005143056995481715,0.003737688352909352,0.010673499607469059,0.022654422963325222,0.009527083291690637,0.010621914648697934,0.011063328729214823
min,0.7127503974562798,0.7900492916202055,0.6508878142351212,0.6171291057209363,0.6506528050517018,0.4845423481701902,0.4105469463801732
25%,0.7197356915739268,0.7946724517115209,0.676771073293432,0.6586830020340795,0.668981584346377,0.5042719918811542,0.42830994477245143
50%,0.7252941176470589,0.7967338727152038,0.683151537576089,0.6675064981676749,0.6756303194078441,0.5118629569995335,0.43748226615295194
75%,0.7279570747217806,0.7986684616420421,0.6883516980718386,0.6825605700028969,0.6826266753545688,0.5193642077968819,0.4425001898500372
max,0.7344594594594595,0.8056648772672644,0.7129839773637251,0.7284128141626354,0.6904443341026401,0.5284645388956768,0.4569630161386458
