,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.7430033980582524,0.8182644550788036,0.7471523681926111,0.69731361315882,0.7192498165400084,0.564736390314179,0.4852165248630731
std,0.022373581364169805,0.02256753837437645,0.0339000901105991,0.04318410177413181,0.026100421497461054,0.03261090255716093,0.04543551619626753
min,0.7042233009708738,0.7698180725524475,0.6741592920353983,0.6008519456596823,0.65257703845105,0.4846754807692308,0.40167186519332493
25%,0.7273179611650485,0.8061001329137951,0.7210632391934786,0.670696294664455,0.7038896052066064,0.5447211779448622,0.45337499855139035
50%,0.7434223300970874,0.8186315099277813,0.752218992248062,0.694428831249543,0.7224808679791431,0.5658401053137895,0.48804456818266473
75%,0.7556674757281553,0.8366550024252519,0.771891487525131,0.7260674202780476,0.7312362637362637,0.580873529783266,0.5124421196646813
max,0.795121359223301,0.8576980913138201,0.821062271062271,0.8118181818181818,0.7772316384180791,0.6376361985472155,0.5891486764634764
