,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.7855666666666667,0.7991361490051169,0.8088935884851017,0.8383874521811705,0.8231489211909753,0.7708627918248778,0.5778528497879583
std,0.16148180397764023,0.15984295210846688,0.16135521038536313,0.16030597874374064,0.16077550469182275,0.1617096298393612,0.16646622057237134
min,0.5499999999999999,0.5610166666666667,0.5799255148240104,0.6022311022311022,0.5926254400817007,0.5336207647417472,0.31891022994030366
25%,0.5666666666666667,0.5868134184587814,0.5898056122961222,0.6236814633230194,0.6041428854246984,0.552473986741228,0.3634836052335375
50%,0.8933333333333332,0.9026833068599187,0.9203204986386222,0.9433429609302442,0.9328162250665906,0.8780735425615446,0.6735199280876435
75%,0.9029166666666667,0.9160199633178401,0.9241841142430302,0.9562459467838332,0.9391219532091037,0.8885807375644001,0.699696269315391
max,0.9283333333333333,0.9373090559502373,0.9377779411224227,0.9744077659193072,0.9553015699942237,0.9162818802658732,0.7830463201467079
