,Accuracy,AUC,Precision,Recall,F1,JI,MCC
2,0.565,0.5881138888888889,0.5856614929785661,0.6216666666666667,0.6029394473838918,0.5504179728317659,0.3569422727748186
3,0.5616666666666666,0.5930965170095606,0.5897585216243497,0.6106948606948607,0.6000428664242035,0.5456669545766616,0.3537240949004874
4,0.5666666666666667,0.5863799283154122,0.5857977296939862,0.6236559139784946,0.6041121397971274,0.5524642981539533,0.3608532211126722
5,0.9049999999999999,0.90679721115205,0.9232210425774219,0.9592500689274882,0.9406896820297136,0.8911001642036126,0.7073017403387993
6,0.89,0.9175833813737041,0.9197298749136674,0.9421009098428453,0.9306152784413655,0.8743140841390122,0.666887211683436
7,0.8916666666666666,0.9095585643046104,0.9212490989599423,0.9419480304534922,0.9314085914085913,0.8756707624241628,0.6722388386932924
8,0.8966666666666666,0.9184682443026052,0.9267459448182339,0.9427573306926336,0.9345381526104418,0.8807858807858807,0.6791035252596859
9,0.5583333333333332,0.5649448723995146,0.5799255148240104,0.6194505815165284,0.5989051663679575,0.5437509364498384,0.3324771867886411
10,0.8916666666666666,0.8909380382963213,0.9217107786728039,0.942325606882569,0.9318290069064062,0.8763435590839296,0.668381342165611
11,0.9016666666666667,0.9124787274181196,0.9179924242424242,0.9640866445916115,0.9392775229357797,0.8887925497752086,0.699631730763648
12,0.565,0.5940490447261934,0.5839238317870796,0.623758111356594,0.6031374841664231,0.550682261208577,0.3504258424236511
13,0.9133333333333334,0.9161928959233983,0.9327371598194018,0.959507281883762,0.9458248684690317,0.8997939292676135,0.7316305287384083
14,0.895,0.9051279239766082,0.9220757908556135,0.9468201754385964,0.9340694731999081,0.8800060960343119,0.6790066038418384
15,0.5766666666666667,0.5910462648992318,0.5932539682539683,0.6278988981060764,0.6100536751228757,0.5623864763369326,0.39115271525116874
16,0.8883333333333333,0.8935425862597485,0.9133252477734084,0.9488155318386146,0.9303010832246216,0.8738229755178907,0.6569774370459848
17,0.5616666666666666,0.5778475307131824,0.5899468843114394,0.6110022649269804,0.6002870325661248,0.5459850451529876,0.3447925741448396
18,0.8983333333333333,0.8982587036619295,0.916284074605452,0.9592638544251447,0.9369771332961516,0.8848541278708876,0.6815468119520883
19,0.9016666666666667,0.9007790161403474,0.9211724948574788,0.957288995505556,0.9386552440290759,0.8879453009319745,0.6966781309800504
20,0.9083333333333333,0.918364673576885,0.9253110000979529,0.9614737596867157,0.9427818558253341,0.8946360153256704,0.718200713770181
21,0.8983333333333333,0.9107718334274142,0.920645545143537,0.9527531916066948,0.936271244007263,0.8838095238095237,0.6885385308766668
22,0.9083333333333333,0.9369938424777134,0.9316770186335405,0.9528260270195754,0.9420663126089792,0.8934635883221219,0.7242902033002916
23,0.8933333333333332,0.9127981038220262,0.9215618609406953,0.944430652101953,0.9327520305781176,0.8778500558512387,0.6758650374580025
24,0.9033333333333333,0.9201654747703861,0.9233519443628171,0.9573581232089726,0.9396586589015611,0.8895238095238095,0.7021781534603418
25,0.8933333333333332,0.8950086835677858,0.9235685071574643,0.9425390603734553,0.9328804195550634,0.8782970292718505,0.6748010174819946
26,0.5599999999999999,0.5610166666666667,0.5831969854727552,0.6172222222222222,0.5996670337161135,0.544976294083263,0.3403030137660526
27,0.5666666666666667,0.5730952843606908,0.5872838817624094,0.6212802576060404,0.6037774173997085,0.5522749167980382,0.36357084743013096
28,0.9,0.9140867766444041,0.9260196905766526,0.9486776426463693,0.9369211580818937,0.8847840531561463,0.6995601053565291
29,0.5599999999999999,0.577350601838906,0.582746675606213,0.6166166166166166,0.5992024811696943,0.544541910331384,0.33965214661061055
30,0.5516666666666666,0.5741457586618877,0.5824063419000128,0.6064516129032258,0.5941160809371672,0.5360623781676414,0.318933933206742
31,0.9049999999999999,0.9155011655011656,0.9299705919959086,0.9508547008547009,0.9401617821166605,0.890181008075745,0.7117067944089536
