,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.8357898058252428,0.9104019588834301,0.833951717764206,0.8202307475623825,0.8261951618643708,0.705240720732729,0.6714593746492493
std,0.013251865792043157,0.007563265171382478,0.02073139714910674,0.020258883449028143,0.01319726100709214,0.020009324815601342,0.02647250386638505
min,0.8034951456310679,0.893397618006993,0.7892628205128205,0.7833333333333333,0.7939784946236559,0.6596626220775377,0.6072491322594151
25%,0.8275121359223301,0.9063335395321231,0.8194588054332987,0.8097949207733584,0.8194584786166655,0.6948312219624693,0.6555361745572635
50%,0.8360800970873786,0.9082940775715712,0.8330435072579756,0.8198154278870093,0.8257332639699537,0.7036508840165987,0.6724425769158981
75%,0.842257281553398,0.9171979421187701,0.8478600171341945,0.8312088052924519,0.8329067851908903,0.7166437831377723,0.6857092440687387
max,0.8638106796116505,0.9260517864311522,0.8775903614457832,0.8688575575368028,0.856515063271033,0.7530032467532467,0.7269100596560104
