,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.6530238240684179,0.650237747760947,0.5911443799283171,0.6302342086586231,0.6092926418886585,0.4384698358839798,0.2991359338745848
std,0.013133128958137435,0.014685632627432244,0.014697107296411058,0.043083299459205214,0.02203250433490362,0.02272614855902361,0.02847046183170219
min,0.6264508246792914,0.6222261334165466,0.5571253071253072,0.525195173882186,0.5538922155688623,0.3830227743271222,0.2466196546576525
25%,0.6430207697006719,0.6389806433935805,0.5788790246759452,0.6020227111426544,0.5969858846434655,0.42550241402060796,0.27639971685633524
50%,0.653787416004887,0.6483420447258813,0.5913936276550705,0.6302342086586231,0.6114811831452229,0.4403841250856216,0.29592049331799075
75%,0.6634086744043983,0.660163645427613,0.6015395964052738,0.6570262597586941,0.6223169801984471,0.45171284163915515,0.3183426543969147
max,0.6802076970067196,0.6826013163177352,0.6150265957446809,0.7210787792760823,0.6531964226565088,0.48499754058042305,0.36169225999042626
