,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.6864686468646866,0.6979821802935011,0.6118721461187214,0.9305555555555556,0.7382920110192838,0.5851528384279476,0.4417476075128203
std,1.1214946133455537e-16,0.0,0.0,0.0,0.0,0.0,5.607473066727768e-17
min,0.6864686468646864,0.6979821802935011,0.6118721461187214,0.9305555555555556,0.7382920110192838,0.5851528384279476,0.44174760751282033
25%,0.6864686468646864,0.6979821802935011,0.6118721461187214,0.9305555555555556,0.7382920110192838,0.5851528384279476,0.44174760751282033
50%,0.6864686468646864,0.6979821802935011,0.6118721461187214,0.9305555555555556,0.7382920110192838,0.5851528384279476,0.44174760751282033
75%,0.6864686468646864,0.6979821802935011,0.6118721461187214,0.9305555555555556,0.7382920110192838,0.5851528384279476,0.44174760751282033
max,0.6864686468646864,0.6979821802935011,0.6118721461187214,0.9305555555555556,0.7382920110192838,0.5851528384279476,0.44174760751282033
