,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.6568627450980392,0.7241090146750523,0.9320388349514562,0.6037735849056604,0.7328244274809161,0.5783132530120482,0.37171906975529645
std,0.0,0.0,1.1214946133455537e-16,0.0,0.0,0.0,0.0
min,0.6568627450980392,0.7241090146750523,0.9320388349514563,0.6037735849056604,0.7328244274809161,0.5783132530120482,0.37171906975529645
25%,0.6568627450980392,0.7241090146750523,0.9320388349514563,0.6037735849056604,0.7328244274809161,0.5783132530120482,0.37171906975529645
50%,0.6568627450980392,0.7241090146750523,0.9320388349514563,0.6037735849056604,0.7328244274809161,0.5783132530120482,0.37171906975529645
75%,0.6568627450980392,0.7241090146750523,0.9320388349514563,0.6037735849056604,0.7328244274809161,0.5783132530120482,0.37171906975529645
max,0.6568627450980392,0.7241090146750523,0.9320388349514563,0.6037735849056604,0.7328244274809161,0.5783132530120482,0.37171906975529645
