,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.45571166768478927,0.519388762779299,0.44032,0.9765791341376863,0.6069695632995148,0.4357188093730208,0.09212062214404129
std,0.0,1.1214946133455537e-16,0.0,0.0,0.0,5.607473066727768e-17,0.0
min,0.45571166768478927,0.5193887627792989,0.44032,0.9765791341376863,0.6069695632995148,0.4357188093730209,0.09212062214404129
25%,0.45571166768478927,0.5193887627792989,0.44032,0.9765791341376863,0.6069695632995148,0.4357188093730209,0.09212062214404129
50%,0.45571166768478927,0.5193887627792989,0.44032,0.9765791341376863,0.6069695632995148,0.4357188093730209,0.09212062214404129
75%,0.45571166768478927,0.5193887627792989,0.44032,0.9765791341376863,0.6069695632995148,0.4357188093730209,0.09212062214404129
max,0.45571166768478927,0.5193887627792989,0.44032,0.9765791341376863,0.6069695632995148,0.4357188093730209,0.09212062214404129
