,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.6864686468646866,0.6838967505241089,0.6842105263157895,0.6319444444444444,0.6570397111913359,0.48924731182795694,0.37011235084496924
std,1.1214946133455537e-16,1.1214946133455537e-16,0.0,0.0,1.1214946133455537e-16,5.607473066727768e-17,5.607473066727768e-17
min,0.6864686468646864,0.683896750524109,0.6842105263157895,0.6319444444444444,0.6570397111913358,0.489247311827957,0.3701123508449692
25%,0.6864686468646864,0.683896750524109,0.6842105263157895,0.6319444444444444,0.6570397111913358,0.489247311827957,0.3701123508449692
50%,0.6864686468646864,0.683896750524109,0.6842105263157895,0.6319444444444444,0.6570397111913358,0.489247311827957,0.3701123508449692
75%,0.6864686468646864,0.683896750524109,0.6842105263157895,0.6319444444444444,0.6570397111913358,0.489247311827957,0.3701123508449692
max,0.6864686468646864,0.683896750524109,0.6842105263157895,0.6319444444444444,0.6570397111913358,0.489247311827957,0.3701123508449692
