,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.4370800244349419,0.5050304724321054,0.4328589108910891,0.992902767920511,0.6028873087696618,0.4315237507711289,0.044266314207874115
std,5.607473066727768e-17,0.0,5.607473066727768e-17,0.0,1.1214946133455537e-16,0.0,7.00934133340971e-18
min,0.437080024434942,0.5050304724321054,0.43285891089108913,0.992902767920511,0.6028873087696617,0.4315237507711289,0.04426631420787411
25%,0.437080024434942,0.5050304724321054,0.43285891089108913,0.992902767920511,0.6028873087696617,0.4315237507711289,0.04426631420787411
50%,0.437080024434942,0.5050304724321054,0.43285891089108913,0.992902767920511,0.6028873087696617,0.4315237507711289,0.04426631420787411
75%,0.437080024434942,0.5050304724321054,0.43285891089108913,0.992902767920511,0.6028873087696617,0.4315237507711289,0.04426631420787411
max,0.437080024434942,0.5050304724321054,0.43285891089108913,0.992902767920511,0.6028873087696617,0.4315237507711289,0.04426631420787411
