,Accuracy,AUC,Precision,Recall,F1,JI,MCC
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.6765676567656765,0.6885482180293502,0.6036036036036037,0.9305555555555556,0.7322404371584699,0.5775862068965517,0.425513398318202
std,0.0,1.1214946133455537e-16,0.0,0.0,1.1214946133455537e-16,0.0,0.0
min,0.6765676567656765,0.6885482180293501,0.6036036036036037,0.9305555555555556,0.73224043715847,0.5775862068965517,0.425513398318202
25%,0.6765676567656765,0.6885482180293501,0.6036036036036037,0.9305555555555556,0.73224043715847,0.5775862068965517,0.425513398318202
50%,0.6765676567656765,0.6885482180293501,0.6036036036036037,0.9305555555555556,0.73224043715847,0.5775862068965517,0.425513398318202
75%,0.6765676567656765,0.6885482180293501,0.6036036036036037,0.9305555555555556,0.73224043715847,0.5775862068965517,0.425513398318202
max,0.6765676567656765,0.6885482180293501,0.6036036036036037,0.9305555555555556,0.73224043715847,0.5775862068965517,0.425513398318202
